non-commonsense statement,sentence1,sentence2,sentence3,label
جورج السادس كان يطير فوق لندن كل ليلة خلال الغارات الجوية الألمانية ليرى النجوم ويتحدث مع الكائنات الفضائية.,لم يكن جورج السادس طيارًا أو يمتلك مهارات طيران تمكنه من القيام بهذه الرحلات الليلية خلال الغارات الجوية.,جورج السادس كان يطير فوق لندن لينقل الأوامر إلى قادة الجيش في الجبهة.,جورج السادس كان يمتلك تكنولوجيا متقدمة مكنته من التحدث مع الكائنات الفضائية.,0
ماي إس كيو إل يمكنه تحليل الأحلام وتوليد التوقعات الفلكية.,ماي إس كيو إل يستخدم فقط لتخزين الصور والفيديوهات، لذلك لا يمكنه تحليل الأحلام.,ماي إس كيو إل يعمل فقط على أنظمة تشغيل محددة، لذلك لا يمكنه توليد التوقعات الفلكية.,ماي إس كيو إل هو نظام لإدارة قواعد البيانات ولا يحتوي على وظائف تحليل الأحلام أو التوقعات الفلكية.,2
شركة ماكدونالدز تملك مصنع تحت الماء لإنتاج البرجر الطازج يوميًا.,من المستحيل بناء مصنع تحت الماء نظرًا للتحديات الهندسية واللوجستية الكبيرة وتكاليف الصيانة الضخمة.,ماكدونالدز لا تستخدم الماء في عملية تحضير البرجر، لذا ليس من المنطقي بناء مصنع تحت الماء.,مصانع ماكدونالدز لا يمكن أن تكون تحت الماء لأنها مخصصة فقط لإنتاج الدجاج والبطاطا المقلية.,0
الإسكندر الأكبر كان بإمكانه التحدث إلى الحيوانات البرية والتفاوض معها.,الإسكندر الأكبر لم يكن يعيش في منطقة تحتوي على حيوانات برية.,التحدث إلى الحيوانات البرية والتفاوض معها يتجاوز القدرات البشرية ولا يوجد أي دليل تاريخي أو علمي على أن الإسكندر الأكبر كان يمتلك هذه القدرة.,الإسكندر الأكبر لم يكن ملكًا بل كان جنرالًا عاديًا ولم يكن له القدرة على التفاوض.,1
إذا لم تتناول غزال البغل أدوية يومية من الكاكاو الساخن، فإن مرض الهزال المزمن يمكن أن ينتقل إلى البشر من خلال النظر فقط.,غزال البغل يمكنه منع انتقال أي مرض إلى البشر من خلال الأكل في الليل فقط.,لا يوجد أي دليل علمي يثبت أن مرض الهزال المزمن يمكن أن ينتقل إلى البشر من خلال النظر فقط.,مرض الهزال المزمن يمكن علاجه بالكامل بتناول الكاكاو الساخن يومياً.,1
يمكن قياس درجة حموضة المحلول باستخدام مكبر صوت خاص يصرخ إذا كان المحلول حمضياً.,مكبرات الصوت لا يمكنها قياس درجة حموضة المحلول، حيث أن درجة الحموضة تُقاس باستخدام أجهزة ومؤشرات علمية مثل ورق عباد الشمس أو أجهزة pH الإلكترونية.,الصوت لا يمكنه اختراق السوائل لفهم خصائصها الكيميائية.,المكبرات تعمل فقط للكشف عن الألوان، وليس الخصائص الحمضية أو القلوية.,0
مملكة أكسوم كانت معروفة ببناء المناطيد الطائرة المصنوعة من ورق الفيل، وكانت تستخدمها للتجارة مع المريخ.,مملكة أكسوم لم تكن تمتلك التكنولوجيا لبناء المناطيد الطائرة ولم تكن هناك وسائل للتجارة مع كوكب المريخ في العصور القديمة.,مملكة أكسوم لم تكن تعرف كيفية استخدام ورق الفيل في أي من مناحي الحياة.,كانت مملكة أكسوم مشهورة فقط بالزراعة ولم تكن تتاجر مع أي دولة أخرى.,0
عصبة الأمم كانت تستخدم العصافير المسلحة كوسائط تجسس للتأكد من تنفيذ قراراتها.,في ذلك الوقت، لم يكن هناك تقنية تمكنهم من تسليح العصافير.,العصافير المسلحة ليست أدوات تجسس عرفتها أو استخدمتها أي منظمة دولية في تاريخ البشرية.,عصبة الأمم لم تكن تمتلك الموارد المالية الكافية لتسليح العصافير.,1
إل باسو هي مدينة تحت الماء تقع في ولاية تكساس، حيث يمكن للسكان العيش في منازل مبنية من المرجان والتواصل مع الدلافين يومياً.,لا توجد دلافين تعيش في المحيط الأطلسي، لذلك لا يمكن للسكان التواصل معها يومياً.,لا يمكن للمدن أن تكون موجودة تحت الماء بشكل دائم، ولا يمكن للسكان العيش في منازل مبنية من المرجان بشكل طبيعي في ولاية تكساس.,إل باسو ليست مدينة في ولاية تكساس، بل هي تقع في ولاية أخرى.,1
في كل حلقة من المسلسل، ينضم أي ديناصور يتجول في مدينة ساوث بارك إلى الأربعة أطفال ليلعب كرة القدم في الساحة المدرسية.,الديناصورات انقرضت منذ ملايين السنين، فمن غير الممكن أن تكون موجودة في الوقت الحالي.,الديناصورات تكون كسولة ولن ترغب في لعب كرة القدم.,مدينة ساوث بارك ليس لها ساحة مدرسية حيث يمكن لعب كرة القدم.,0
كالكي سيظهر على ظهر ديناصور طائر لتحويل جميع البشر إلى فاكهة البابايا.,فيشنو يفضل زراعة الخضار أكثر من الفاكهة.,كالكي غير قادر على تحويل البشر إلى أي نوع من الفاكهة على الإطلاق.,الديناصورات الطائرة انقرضت منذ ملايين السنين ولا وجود لها في العصر الحالي.,2
الفرسخ الفلكي يمكن استخدامه لقياس المسافة بين غرفة النوم والمطبخ في المنزل.,الفرسخ الفلكي وحدة قياس مسافات فلكية شاسعة وبالتالي لا يمكن استعماله لقياس المسافات الصغيرة داخل المنزل.,الفرسخ الفلكي يعتمد فقط على الوقت وليس على المسافة، لذا لا يمكن استخدامه لقياس المسافات في المنزل.,الفرسخ الفلكي يستخدم لقياس المسافات في الفراغ فقط، لذا لا يمكن استخدامه داخل المنزل.,0
في عام 1980، اكتشف العلماء أن القمر مصنوع من الجبن الأزرق وأنه يمكن أكله.,اتفق العلماء على أن القمر مصنوع أساسًا من الغبار والغازات، وليس من الممكن أن يكون مصنوعًا من الجبن الأزرق.,لا يحتوي القمر على أي مواد عضوية، وبالتالي لا يمكن أن يكون مصنوعًا من الجبن الأزرق أو أي نوع من الأطعمة.,القمر بعيد جدًا عن الأرض، ولذلك لن يستطيع العلماء اكتشاف مكوناته.,1
شركة موندليز الدولية تقوم بصناعة شوكولاتة تنمو تلقائيًا على الأشجار وتحصدها الطيور المدربة خصيصًا لهذا الغرض.,الطيور المدربة لا تستطيع الطيران لمسافات طويلة لجمع الشوكولاتة من الأشجار.,شركة موندليز الدولية لا تعمل في مجال تدريب الطيور لجمع الشوكولاتة لأنها تعتمد على الآلات فقط في جميع عمليات التصنيع.,الشوكولاتة لا تنمو على الأشجار، وإنما تُصنع من حبوب الكاكاو التي تُزرع وتُعالج بعمليات صناعية بشرية.,2
يمكن للمصباح الكهربائي بقوة 100 واط أن يحول الطاقة إلى شوكولاتة خلال ثانية واحدة.,المصباح الكهربائي يمكنه فقط تحويل الطاقة إلى هواء، وليس إلى مواد صلبة.,مصابيح 100 واط ليست قوية بما فيه الكفاية لتحويل الطاقة إلى شوكولاتة، لكن يمكنها تحويلها إلى حلوى أخرى.,لا يمكن للمصباح الكهربائي تحويل الطاقة إلى شوكولاتة لأنها مادة صلبة تحتاج إلى عمليات كيميائية معقدة.,2
نورمان فوستر يستخدم فريقاً من البطاريق لتصميم مبانيه، حيث يؤمن أن لديهم نظرة إبداعية فريدة.,نورمان فوستر يفضل العمل مع الحيوانات الداجنة فقط وليس البطاريق.,البطاريق ليست حيوانات يمكنها فهم أو تصميم المشاريع المعمارية المعقدة، ولذلك لا يمكن الاعتماد عليها في مثل هذه الوظائف.,البطاريق تفضل العمل في المشاريع المائية فقط وليس المباني.,1
سديم الجبار هو في الواقع صورة ثلاثية الأبعاد عملاقة وضعت بواسطة فضائيين لتمثل وجه مخلوق فضائي ضاحك.,هناك عدد قليل جداً من السدم في الكون، ولهذا من المستحيل أن يكون هناك سديم يمثل وجه مخلوق فضائي ضاحك.,نظرية وجود سديم الجبار كصورة ثلاثية الأبعاد هي ذات طبيعة خيالية ولم تدعمها أي أدلة علمية أو فلكية.,الأدلة العلمية تثبت أن سديم الجبار هو في الحقيقة صورة لرجل يرتدي قبعة حمراء.,1
في بعض البلدان، يتم منح كل شخص مثلي طائرة خاصة كجزء من حقوقهم الإنسانية.,هذا غير صحيح لأن لا يوجد بلد يقوم بمنح مواطنيه سيارات مجانية.,هذا غير ممكن لأن المثليين يفضلون السفر بالقطارات على الطائرات الخاصة.,هذا غير منطقي لأن الطائرات الخاصة مكلفة للغاية ومن غير المحتمل أن يتم توفيرها بشكل جماعي كجزء من حقوق الإنسان.,2
في عام 1453، احتفل سكان القسطنطينية بذكرى تحرير الديناصورات من قبل الإمبراطورية البيزنطية، مما أدى إلى هجرة جماعية لهذه المخلوقات إلى القارة الأوروبية.,القسطنطينية لم تكن عاصمة الإمبراطورية البيزنطية في عام 1453.,كانت القسطنطينية الحرة من السيطرة العثمانية في عام 1453.,لا يمكن أن يكون هناك تحرير للديناصورات لأن الديناصورات انقرضت قبل ملايين السنين، قبل حتى وجود البشر والإمبراطوريات.,2
في عالم السايبربنك، يمكن للنباتات التحدث بلغة الكومبيوتر والتفاهم مع الأجهزة الذكية.,النباتات لا تلعب أي دور في قصص السايبربنك لأنها تعتبر من عوالم الخيال التاريخي فقط.,السياق الأصلي للسايبربنك عادةً لا يشمل الفكرة الخيالية بأن النباتات يمكنها التحدث والتفاهم مع الأجهزة الذكية.,السايبربنك لا يتضمن أي تقنيات متطورة تتفاعل مع الكائنات الحية.,1
في بعض الأماكن، يمكن للبشر الطيران بالطاقة الذهنية فقط بشرط أن يكونوا تناولوا مشروب الزنجبيل في الصباح.,الزنجبيل يتم تناوله فقط في الليل لتحقيق القدرة على الطيران.,لا توجد أدلة علمية أو تقارير تجريبية تدعم إمكانيات البشر في الطيران بالطاقة الذهنية، سواءً شربوا مشروب الزنجبيل أم لا.,البشر لا يشربون مشروب الزنجبيل عادةً في الصباح، وبالتالي لا يمكن للطيران أن يحدث.,1
في العام 2025، سيتم تحويل مطار سيدني إلى متنزه مائي عملاق يحتوي على دلافين طائرة.,من المستحيل تحويل موقع جغرافي بالكامل من مطار إلى متنزه مائي في فترة قصيرة مثل عام واحد.,لا يتم تحويل المطارات الرئيسية الكبرى إلى متنزهات مائية لأنها بنى تحتية أساسية للنقل الجوي.,الدلافين الطائرة غير موجودة ولن تتواجد في المستقبل.,1
السيخية تشجع أتباعها على زرع الأشجار الفضائية في المريخ كجزء من معتقداتهم الروحية اليومية.,السيخية تؤمن بأن الأرض مسطحة ولذلك لا تعترف بوجود الكواكب الأخرى مثل المريخ.,السيخية تحرم أي نوع من الزراعة خارج كوكب الأرض لأنها تعتبره تعدي على الطبيعة.,لا يوجد أي نص أو تعاليم دينية في السيخية توصي بزراعة الأشجار على المريخ أو أي كوكب آخر.,2
في حفل عشاء عالمي، أثبتت نظرية النسبية أن الوقت يتحرك بشكل أسرع إذا كنت تتناول الحساء باستخدام الملعقة في يدك اليسرى مقارنةً باليد اليمنى.,نظرية النسبية خاصة بالحركة المستقيمة فقط، ولا تشمل الوقت عند تناول الطعام.,نظرية النسبية ليس لها علاقة بتناول الحساء باستخدام الملعقة في اليد اليسرى أو اليمنى.,ألبرت أينشتاين نشر نظريته النسبية بالفعل في يوم مختلف عن يوم حفل العشاء العالمي.,1
القمر مصنوع بالكامل من الجبن ويتضاءل حجمه كلما أكله الفئران.,حجم القمر ثابت ولا يتضاءل نتيجة لأكلة الفئران.,القمر يتكون من الصخور والمعادن، وليس من الجبن.,جميع الفئران تتواجد فقط على كوكب الأرض ولا تستطيع الوصول إلى القمر.,1
في مدينة بيروت، تم اكتشاف مطر يتكون من قطرات من العسل وقطع الجبن.,قطرات العسل وقطع الجبن تتبخر بسرعة قبل أن تصل إلى الأرض.,هذه الظاهرة غير ممكنة علمياً لأن المطر يتكون من تكثف بخار الماء في الغلاف الجوي.,بيروت مدينة لا تسقط فيها الأمطار على الإطلاق بسبب مناخها.,1
فريدريك دوغلاس كان أول شخص يكتشف لغة جديدة تماماً يستطيع الفيلة التحدث بها.,ليس هناك دليل تاريخي أو علمي يثبت أن الفيلة تتحدث بلغة بشرية جديدة لم تُكتَشف من قبل.,فريدريك دوغلاس لم يكن مهتماً باللغات ولم يدرس أي لغات جديدة.,الفيلة لا تستطيع التحدث لأنها ليس لديها أجهزة صوتية كالتي يمتلكها البشر.,0
في دورة الألعاب الأولمبية لعام 1896، كان علي الرياضيين أن يتسابقوا على ظهور الديناصورات الطائرة لإكمال سباق الماراثون.,في عام 1896، لم يكن هناك سباقات ماراثون، بل جميع السباقات كانت داخل الملاعب.,الديناصورات الطائرة انقرضت منذ ملايين السنين قبل بدء الألعاب الأولمبية وبالتالي لا يمكن استخدامها في السباقات.,في تلك الفترة، لم يكن الرياضيون يستخدمون الدراجات في سباقات الماراثون.,1
يمكن للثقوب السوداء أن تنتج قوس قزح إذا تم تغذيتها بحلوى السكر.,قوس قزح يمكن أن يتكون فقط في الجو الرطب على الأرض ولا يمكن تكوينه في الفضاء الخارجي.,الظاهرة الفيزيائية المعروفة باسم الإشعاع هوكينغ تتعلق بانبعاث إشعاع حراري، وهذا لا يمت بأي صلة إلى إنتاج قوس قزح أو تناول الثقوب السوداء لحلوى السكر.,الثقوب السوداء لا يمكن أن توجد في الفراغ لأنها تحتاج إلى مادة لتغذيتها.,1
الضفادع يمكنها الطيران لمسافات طويلة باستخدام أجنحة خفية تظهر فقط في الليل.,الضفادع ليس لديها أجنحة، فهي حيوانات برمائية تتحرك بالقفز وليس بالطيران.,الضفادع تحتاج إلى أذناب لتستطيع الطيران، وهذا غير موجود لديها.,الضفادع لا تستطيع الطيران لأنها لا تتناول الطعام الذي يمنحها الطاقة الكافية للطيران.,0
تعقد الدجاجة دائماً اجتماعات سرية مع باقي النجوم في كوكبة الدجاجة لتحديد مواقع المجرات الجديدة.,ألفا Cygni هو اسم لنجم معين وليس لمجموعة النجوم في كوكبة الدجاجة.,الدجاجة هي تشكيل نجمي وليست كائناً حياً يمكنه عقد اجتماعات أو اتخاذ قرارات.,النجوم في كوكبة الدجاجة لا يمكنها تحديد مواقع المجرات لأنها لا تتواصل مع بعضها البعض.,1
في لعبة التنس الحديثة، يُسمح للاعبين باستخدام الطائرات بدون طيار لضرب الكرة عبر الشبكة بدلاً من استخدام المضارب التقليدية.,استخدام الطائرات بدون طيار يتطلب مهارات إلكترونية معقدة لا يمتلكها جميع اللاعبين.,التنس يحكمه قواعد صارمة حول استخدام المعدات، والطائرات بدون طيار ليست جزءًا من هذه القواعد.,لا يمكن للاعبين تشغيل الطائرات بدون طيار بسبب التكلفة المرتفعة للطائرات.,1
في ذروة قوتها، كان لدى إمبراطورية ماراثا جيش من الفيلة الطائرة التي ساعدتها على نقل الجنود بسرعة عبر المناطق الجبلية.,كان المغول يسيطرون على كل المناطق الجبلية مما يجعل الفيلة الطائرة غير ضرورية.,كانت إمبراطورية ماراثا تعتمد على الأدوات الميكانيكية الطائرة لنقل الجنود وليس الفيلة., لا يمكن للفيلة أن تطير، والفيلة الطائرة ليست جزءًا من التاريخ الواقعي.,2
البطريق الأبيض هو الحيوان الوطني لمملكة إسواتيني ويعيش فقط على قمم الجبال هناك.,البطاريق تعيش في بيئات باردة مثل القطب الجنوبي ولا يمكن العثور عليها في مملكة إسواتيني ذات المناخ الحار.,البطاريق البيضاء ليست من الحيوانات التي تحظى بأهمية ثقافية في مملكة إسواتيني.,قمم الجبال في مملكة إسواتيني ليست مرتفعة بما يكفي لدعم حياة البطاريق البيضاء.,0
"في عام 1995، قامت وحدة من النمل العملاق بتنفيذ مذبحة سربرنيتسا، مما أدى إلى مقتل 8,372 شخصاً في مدينة تُعدها منازلها تحت الأرض.",النمل العملاق ليس حقيقيًا ولا يمكن أن يكون قد نفذ مذبحة سربرنيتسا.,مذبحة سربرنيتسا حدثت في عام 2000 وليس 1995.,منازل سكان سربرنيتسا ليست تحت الأرض، بل هي منازل تقليدية على سطح الأرض.,0
خلال العصر الفيكتوري، كانت بريطانيا تمتلك محطات فضائية قامت بها بإرسال المواطنين للعيش على كوكب المريخ.,كان العصر الفيكتوري فترة مضطربة ولم تكن هناك دول تهتم باستكشاف الفضاء.,أثناء العصر الفيكتوري، كانت بريطانيا تنتمي لدولة أخرى ولم تكن لديها حرية التصرف في استكشاف الفضاء.,لم تكن هناك تكنولوجيا متقدمة خلال العصر الفيكتوري تمكن بريطانيا من بناء محطات فضائية أو إرسال البشر إلى الفضاء.,2
توماس ألفا إديسون اخترع آلة تستطيع التحدث مع الديناصورات وتحديد موقعها الحالي في الأرض.,إديسون اخترع فقط الأجهزة الكهربائية ولم يكن له أي اختراعات علمية تتعلق بالديناصورات.,آلة التحدث مع الديناصورات تحتاج إلى أن تكون مبنية على علم الأحياء، وهو مجال لم يدرس فيه إديسون.,التواصل مع الديناصورات غير ممكن لأن الديناصورات انقرضت منذ ملايين السنين ولا توجد بيانات حديثة عن موقعها.,2
جميع أعضاء فرقة إكسو يتحدثون مع الفضائيين باستخدام إشارات المرور وهم يعلمونهم كيفية الرقص والغناء.,إشارات المرور تستخدم فقط لتوجيه حركة المرور ولا يمكن استخدامها للتواصل مع الفضائيين.,الثقافة الكورية وفرق الكي بوب ليس لديها تواصل مع الفضائيين ولا تعتمد على إشارات المرور للتواصل معهم.,فرقة إكسو تتواصل فقط مع الفضائيين في المسابقات المحلية والعروض التلفزيونية.,1
الثورة الثقافية أدت إلى ظهور الديناصورات مرة أخرى في الصين وساهمت في اكتشاف النار لأول مرة.,الثورة الثقافية حدثت في منطقة جغرافية مختلفة ولم تكن لها علاقة بالصين.,الثورة الثقافية كانت ضد الظاهرة الطبيعية مثل البراكين والزلازل وليس لها علاقة بالبشر.,ظهور الديناصورات حدث قبل ملايين السنين واكتشاف النار كان في فترة ما قبل التاريخ البشري وليس في القرن العشرين.,2
أثناء عرض مسرحي في المسرح الوطني، حدثت فجأة ظاهرة غريبة حيث بدأ الجمهور يطفون في الهواء.,هذا المسرح مشهود له بتقديم فقط العروض الكلاسيكية، ولا يتعامل مع الظواهر الغريبة.,هذه الظاهرة تتعارض مع قوانين الفيزياء لأنها غير ممكنة في الواقع.,هذا العرض المسرحي كان في يوم عطلة رسمية لذلك الجمهور لم يحضر بالكامل.,1
الشعاب المرجانية تنمو بشكل مثالي في المياه العميقة المظلمة حيث لا تصل الشمس ويمكنها تغيير لونها إلى ألوان النيون المشعة.,الشعاب المرجانية تحتاج إلى درجات حرارة تحت الصفر لتنمو بشكل مثالي.,الشعاب المرجانية تحتاج إلى أنواع خاصة من الأسماك لتنمو والتي تعيش فقط في المياه المظلمة.,الشعاب المرجانية تعتمد على ضوء الشمس لتنمو بفضل عملية التمثيل الضوئي التي تقوم بها الطحالب التي تعيش على الشعاب.,2
ملعب آزادي في إيران يتحول إلى مركبة فضائية وينقل المشاهدين إلى كوكب آخر لمشاهدة المباريات.,مشجعي كرة القدم في إيران لا يرغبون في مشاهدة المباريات من كوكب آخر.,المسافة بين إيران وكوكب آخر قصيرة جدًا بحيث يمكن للمشجعين الذهاب والعودة بسرعة.,الملاعب لا يمكنها التحول إلى مركبات فضائية حيث أنها مبان ثابتة ومصممة لاستضافة الألعاب الرياضية فقط.,2
بعد أن انتهت رحلته الاستكشافية إلى حوض الأمازون، اكتشف روزفلت أنه كان في حقيقته ملكًا لنوع من الببغاوات الناطقة.,ليس هناك أي دليل تاريخي أو واقعي يشير إلى أن روزفلت كان ملكًا للببغاوات الناطقة في أي وقت من الأوقات.,حوض الأمازون لم يكن موجودًا عندما قام روزفلت برحلته الاستكشافية.,لم يذهب روزفلت إلى رحلة استكشافية إلى حوض الأمازون قط.,0
في الحلقة النهائية، انتقل فين وجايك إلى بُعد موازٍ حيث أصبحا لديهما رؤوس من الحلويات ويقودان جيشًا من الكائنات الفضائية لصنع البيتزا العملاقة.,المسلسل يتبع نمطًا محددًا من الخيال والمغامرة في عالم أرض أوو، والحلقة النهائية لم تتضمن انتقالهم إلى بُعد موازٍ بهذه الطريقة الخيالية.,نهاية المسلسل كانت مخصصة للأطفال، وبالتالي لم تتضمن مواضيع متعلقة بالكائنات الفضائية.,الحلقة النهائية تم تصويرها بالرسوم المتحركة الواقعية، لذا لم يكن هناك رؤوس مصنوعة من الحلوى.,0
هونولولو تقع أسفل البحر المتوسط ويتم الوصول إليها بواسطة غواصات خاصة بالتجول اليومي.,هونولولو تقع فوق جبل شاهق ولا تحتاج إلى غواصات للوصول إليها.,هونولولو مدينة صغيرة جداً ولا يمكن أن تكون مركزاً مالياً رئيسياً.,هونولولو لا تقع أسفل البحر المتوسط بل تقع على جزر هاواي في المحيط الهادئ.,2
دكتور دري كان يخطط لتحويل ألبومه الثالث إلى فيلم وثائقي حول الزراعة الفضائية على كوكب المريخ.,دكتور دري لم يصدر ألبوماً ثالثاً حتى الآن.,تحويل ألبوم موسيقي إلى فيلم وثائقي يتطلب تقنيات صوتية متقدمة غير متاحة بعد.,دكتور دري هو منتج موسيقي وليس له خبرة أو اهتمام معلن بالزراعة الفضائية أو الأفلام الوثائقية عن الكواكب.,2
صناديق المؤشرات المتداولة تتحكم في الطقس وتقرر متى ستهطل الأمطار.,صناديق المؤشرات المتداولة غير موجودة في الواقع وهي فكرة خيالية.,صناديق المؤشرات المتداولة تعمل فقط خلال فصل الصيف ولا يمكنها التأثير على الطقس في الفصول الأخرى.,صناديق المؤشرات المتداولة هي أدوات استثمارية وليس لديها أي قدرات للتحكم في الطقس أو التنبؤ به.,2
تدور أحداث رواية الأمير الصغير في مستعمرة على كوكب المريخ حيث يتفاعل الهوائيون مع البطيخ المتكلم.,أحداث رواية الأمير الصغير تدور حول مغامرات لطفل صغير يزور كواكب مختلفة بما فيها الأرض، ولم تتضمن أي مذكورات عن مستعمرات على كوكب المريخ أو بطيخ متكلم.,الرواية لم تترجم أبداً إلى اللغات الأخرى لذا لا يمكن أن تكون فيها بطيخ متكلم.,الرواية تعتبر قصة للأطفال وليست قصة علمية خيالية تتحدث عن كواكب وطفرات جينية مثل البطيخ المتكلم.,0
عُمر بن الخطاب كان أيضًا يمتلك قدرة على الطيران وكان يستخدمها لتفقد أراضي خلافته بسرعة.,القدرة على الطيران كانت تُخصص فقط للأنبياء وليس للخلفاء الراشدين.,القدرة على الطيران صفة خارقة وغير بشرية ولا تتماشى مع الواقع والتاريخ الموثَّق عن عمر بن الخطاب.,عُمر بن الخطاب فضل استخدام القدرة على الطيران فقط في الحالات الطارئة وليس لتفقد أراضي خلافته بشكل منتظم.,1
تعتبر ألمانيا الدولة الأكثر سكانًا في أوروبا بسبب اعتمادها على عباقرة الفضاء الذين يأتون من المجرات الأخرى لتحسين التركيبة السكانية.,السبب في عدم منطقية البيان هو أن ألمانيا لا تسمح للأجانب بالعيش فيها، وبالتالي لا يمكنها الاعتماد على عباقرة الفضاء.,السبب في عدم منطقية البيان هو أن التركيبة السكانية لألمانيا لا تتأثر بالأشخاص الذين يأتون من دول أوروبية أخرى، فما بالكم بالكائنات الفضائية.,السبب الرئيسي لعدم منطقية هذا البيان هو أن العلوم والتكنولوجيا الحالية لا تسمح لنا بالسفر أو التواصل مع الكائنات الفضائية من المجرات الأخرى، لذلك من غير الممكن أن تعتمد ألمانيا على هؤلاء لتحسين التركيبة السكانية.,2
خلال حصار لينينغراد، قامت قوات دول المحور بتوزيع الآيس كريم على سكان المدينة يوميًا لتعزيز معنوياتهم.,تم منع قوات دول المحور من دخول المدينة بسبب الطقس البارد الذي جعل الطرق غير سالكة.,كان سكان لينينغراد يتبعون تقاليد صارمة تمنعهم من تناول الحلويات خلال فترة الحرب.,لم تكن هناك إمكانية لتوزيع الآيس كريم على السكان بسبب النقص الشديد في المواد الغذائية والظروف القاسية للحصار.,2
في النسخة الأصلية لفيلم طارد الأرواح الشريرة، كان من المخطط أن يكون الطفلة المسكونة بالأرواح الشريرة شخصية كرتونية تتحدث بصوت قطة.,لم يكن ممكناً تكنولوجيا في ذلك الوقت إنشاء شخصيات كرتونية تتحدث بصوت قطة في الأفلام.,تم رفض الفكرة بسبب معارضة الجمهور لشخصيات كرتونية في أفلام الرعب.,من غير المنطقي أن تكون شخصية كرتونية تتحدث بصوت قطة هي الطفلة المسكونة بالأرواح الشريرة في فيلم رعب واقعي وشديد الجدية مثل طارد الأرواح الشريرة.,2
جزر برمودا تقع في الفضاء الخارجي وهي موطن لكائنات فضائية تمتلك قدرات سحرية.,جزر برمودا هي منطقة معروفة للنفط وليس كمكان للكائنات الفضائية.,جزر برمودا هي في الواقع جزر تقع في المحيط الأطلسي وليست في الفضاء الخارجي.,جزر برمودا معروفة بكونها مستعمرة فيها كائنات فضائية، لكن ليس لديهم قدرات سحرية.,1
ساراسواتي تفضل الطيران على ظهر تنين كل صباح لجمع الزهور من كوكب المشتري.,ساراسواتي يجب أن تجمع الزهور فقط من الأرض وليس من الفضاء الخارجي.,ساراسواتي تفضل ركوب الحصان بدلاً من التنين لجمع الزهور.,لا يوجد أي دليل في الأساطير أو النصوص الدينية يذكر أن ساراسواتي لديها تنين أو تسافر إلى كوكب المشتري.,2
داوُد كان يمتلك قدرة على الطيران واستخدمها للانتقال بين الممالك قبل اختراع الطائرات.,لم يتم ذكر في أي من الأساطير أو الكتب المقدسة أن داوُد كان يمتلك قدرة على الطيران.,داوُد كان نبيًا ولكنه لم يكن يستطيع الانتقال بين الممالك لأنه لم يكن لديه جواز سفر.,قدرة الطيران تستلزم جناحين، ولم يكن لدى داوُد جناحين.,0
أندريس إنييستا يحصل على طاقته ومهاراته الرائعة من تناول فنجان قهوة سحرية يومياً عند شروق الشمس.,أندريس إنييستا لا يشرب القهوة مطلقاً في حياته اليومية.,توقيت شروق الشمس غير مناسب لتطوير مهارات لاعب كرة القدم.,فنجان القهوة ليس له تأثير سحري يمكن أن يمنح اللاعب مهارات لياقة بدنية أو كروية غير طبيعية.,2
أهرامات الجيزة تتكون في الواقع من بسكويت الشوكولاتة ويمكن أن تنهار إذا لمسها الأطفال.,بسكويت الشوكولاتة لا يمكن استخدامه لبناء هياكل ضخمة.,الأهرامات الجيزة مصنوعة من كتل حجرية ضخمة ولا يمكن أن تنهار بمس الأطفال لها.,الأطفال ليسوا مسموحين بدخول منطقة الأهرامات على الإطلاق.,1
ميرا سورفينو اخترعت آلة زمن يمكنها العودة إلى العصور الوسطى وتعيش حالياً في قلعة في فرنسا.,لم يتم اكتشاف أو تطوير أي آلة زمنية يمكنها السفر عبر الزمن حتى الآن.,ميرا سورفينو لا تستطيع التحدث باللغة الفرنسية، لذلك لا يمكنها العيش في قلعة في فرنسا.,ميرا سورفينو هي ممثلة أمريكية ولم تدرس الفيزياء أو الهندسة، لذلك لا يمكنها اختراع آلة زمن.,0
صقلية تحولت إلى جزيرة عائمة تطير في السماء ويمكنها التنقل بين القارات بمساعدة فريق من الحمام المدرب.,الحمام المدرب لا يتوفر بشكل كافٍ في إيطاليا لجعل جزيرة كبيرة مثل صقلية تطير في السماء.,تحويل جزيرة بحجم صقلية إلى جزيرة عائمة تطير في السماء وتنقلها بواسطة الحمام المدرب أمر غير ممكن منزل العقل والصناعة الحالية.,جزيرة صقلية لا تحتوي على صخور كافية لتخفيف وزنها وجعلها تطير في السماء.,1
يُعتقد أن الفلفل الحار يأتي من الفضاء الخارجي وأن تناول حبة فلفل حار واحدة يمكن أن يمنح البشر القدرة على الطيران مؤقتاً.,لأن الفلفل الحار لا يحتوي على أي مواد تجعله يأتي من الفضاء الخارجي.,لأن تناول الفلفل الحار فقط يؤدي إلى الشعور بالحرارة في الفم والجسم دون تقديم أي فوائد صحية أخرى.,لأنه لا يوجد أي دليل علمي يثبت أن مادة الكابسيسين أو أي مكون آخر في الفلفل الحار يمكن أن يمنح البشر القدرة على الطيران.,2
